 12Z 15 Oct 2017  0.00  38.83
 12Z 16 Oct 2017  0.00  36.23
 12Z 17 Oct 2017  0.00  34.78
 12Z 18 Oct 2017  0.00  25.16
 12Z 19 Oct 2017  0.00  17.39
 12Z 20 Oct 2017  0.00  28.84
 12Z 21 Oct 2017  0.00  19.11
 12Z 22 Oct 2017  0.00  21.13
 12Z 23 Oct 2017  0.00  15.87
 12Z 24 Oct 2017  0.00  15.17
 12Z 25 Oct 2017  0.00  14.79
 12Z 26 Oct 2017  230.42  20.17
 12Z 27 Oct 2017  0.00  15.17
 12Z 28 Oct 2017  0.00  12.80
 12Z 29 Oct 2017  80.64  19.64
 12Z 30 Oct 2017  1388.06  23.26
 12Z 31 Oct 2017  651.61  24.22
 12Z 01 Nov 2017  0.00  20.44
 12Z 02 Nov 2017  73.91  28.65
 12Z 03 Nov 2017  0.00  17.54
 12Z 04 Nov 2017  0.00  33.87
 12Z 05 Nov 2017  0.00  30.52
 12Z 06 Nov 2017  0.00  28.52
 12Z 07 Nov 2017  0.00  28.71
 12Z 08 Nov 2017  0.00  30.96
 12Z 09 Nov 2017  0.00  18.45
 12Z 10 Nov 2017  0.00  22.67
 12Z 21 Dec 2017  0.00  8.22
 12Z 22 Dec 2017  0.00  3.38
 12Z 26 Dec 2017  0.00  15.29
 12Z 27 Dec 2017  0.00  23.09
 12Z 28 Dec 2017  0.00  24.48
 12Z 29 Dec 2017  0.00  21.34
